turn_nm,date,num_1,num_2,num_3,num_4,num_5,num_6,num_bonus,win_people,win_prince
850,2019-01-16 0:03,16,20,24,28,36,39,5,6,3377587875
849,2019-01-09 0:03,5,13,17,29,34,39,3,17,1158252883
848,2019-01-02 0:03,1,2,16,22,38,39,34,7,3011580858
847,2019-01-23 0:02,12,16,26,28,30,42,22,8,2520846657
846,2019-01-16 0:02,5,18,30,41,43,45,13,13,1596884395
845,2019-01-09 0:02,1,16,29,33,40,45,6,11,1891217182
844,2019-01-02 0:02,7,8,13,15,33,45,18,18,1162963542
843,2019-01-26 0:01,19,21,30,33,34,42,4,5,4012970100
842,2019-01-19 0:01,14,26,32,36,39,42,38,10,2035475025
841,2019-01-12 0:01,5,11,14,30,33,38,24,17,1116095714
840,2019-01-05 0:01,2,4,11,28,29,43,27,10,2042961788
839,2018-01-29 0:12,3,9,11,12,13,19,35,13,1359454904
838,2018-01-22 0:12,9,14,17,33,36,38,20,5,3813733050
837,2018-01-15 0:12,2,25,28,30,33,45,6,6,3144449125
836,2018-01-08 0:12,1,9,11,14,26,28,19,14,1257843670
835,2018-01-01 0:12,9,10,13,28,38,45,35,15,1233681125
834,2018-01-24 0:11,6,8,18,35,42,43,3,11,1690693671
833,2018-01-17 0:11,12,18,30,39,41,42,19,8,2356317282
832,2018-01-10 0:11,13,14,19,26,40,43,30,9,2088204584
831,2018-01-03 0:11,3,10,16,19,31,39,9,16,1110702258
830,2018-01-27 0:10,5,6,16,18,37,38,17,9,2060528750
829,2018-01-20 0:10,4,5,31,35,43,45,29,8,2444650641
828,2018-01-13 0:10,4,7,13,29,31,39,18,13,1455185972
827,2018-01-06 0:10,5,11,12,29,33,44,14,15,1206500375
826,2018-01-29 0:09,13,16,24,25,33,36,42,9,2075192084
825,2018-01-22 0:09,8,15,21,31,33,38,42,12,1658710563
824,2018-01-15 0:09,7,9,24,29,34,38,26,15,1256646550
823,2018-01-08 0:09,12,18,24,26,39,40,15,9,2009843917
822,2018-01-01 0:09,9,18,20,24,27,36,12,3,5930898625
821,2018-01-25 0:08,1,12,13,24,29,44,16,14,1316155956
820,2018-01-18 0:08,10,21,22,30,35,42,6,4,4627313532
819,2018-01-11 0:08,16,25,33,38,40,45,15,7,2594534840
818,2018-01-04 0:08,14,15,25,28,29,30,3,13,1380804318
817,2018-01-28 0:07,3,9,12,13,25,43,34,9,1868477334
816,2018-01-21 0:07,12,18,19,29,31,39,7,8,2128107938
815,2018-01-14 0:07,17,21,25,26,27,36,4,7,2579855358
814,2018-01-07 0:07,2,21,28,38,42,45,30,6,3067192063
813,2018-01-30 0:06,11,30,34,35,42,44,27,4,4591763157
812,2018-01-23 0:06,1,3,12,14,16,43,10,6,2947954750
811,2018-01-16 0:06,8,11,19,21,36,45,25,7,2524148197
810,2018-01-09 0:06,5,10,13,21,39,43,11,8,2231598047
809,2018-01-02 0:06,6,11,15,17,23,40,39,6,2921372750
808,2018-01-26 0:05,15,21,31,32,41,43,24,6,3087620500
807,2018-01-19 0:05,6,10,18,25,34,35,33,7,2437662322
806,2018-01-12 0:05,14,20,23,31,37,38,27,7,2640760875
805,2018-01-05 0:05,3,12,13,18,31,32,42,4,4266061969
804,2018-01-28 0:04,1,10,13,26,32,36,9,11,1631996523
803,2018-01-21 0:04,5,9,14,26,30,43,2,5,3663810225
802,2018-01-14 0:04,10,11,12,18,24,42,27,16,1082947993
801,2018-01-07 0:04,17,25,28,37,43,44,2,8,2256786657
800,2018-01-31 0:03,1,4,10,12,28,45,26,11,1632246205
799,2018-01-24 0:03,12,17,23,34,42,45,33,10,1826427225
798,2018-01-17 0:03,2,10,14,22,32,36,41,7,2710791911
797,2018-01-10 0:03,5,22,31,32,39,45,36,8,2397028125
796,2018-01-03 0:03,1,21,26,36,40,41,5,7,2763490340
795,2018-01-24 0:02,3,10,13,26,34,38,36,11,1714977000
794,2018-01-17 0:02,6,7,18,19,30,38,13,7,2650940304
793,2018-01-10 0:02,10,15,21,35,38,43,31,5,3750146775
792,2018-01-03 0:02,2,7,19,25,29,36,16,7,2655736768
791,2018-01-27 0:01,2,10,12,31,33,42,32,14,1253081893
780,2017-01-11 0:11,15,17,19,21,27,45,16,11,1667520137
779,2017-01-04 0:11,6,12,19,24,34,41,4,11,1527709296
778,2017-01-28 0:10,6,21,35,36,37,41,11,3,6264069500
777,2017-01-21 0:10,6,12,17,21,34,37,18,21,833468036
776,2017-01-14 0:10,8,9,18,21,28,40,20,7,2557579393
775,2017-01-07 0:10,11,12,29,33,38,42,17,5,3470437650
774,2017-01-30 0:09,12,15,18,28,34,42,9,11,1709721512
773,2017-01-23 0:09,8,12,19,21,31,35,44,11,1609403080
772,2017-01-16 0:09,5,6,11,14,21,41,32,10,1769608838
771,2017-01-09 0:09,6,10,17,18,21,29,30,4,4362644907
780,2017-01-11 0:11,15,17,19,21,27,45,16,11,1667520137
779,2017-01-04 0:11,6,12,19,24,34,41,4,11,1527709296
778,2017-01-28 0:10,6,21,35,36,37,41,11,3,6264069500
777,2017-01-21 0:10,6,12,17,21,34,37,18,21,833468036
776,2017-01-14 0:10,8,9,18,21,28,40,20,7,2557579393
775,2017-01-07 0:10,11,12,29,33,38,42,17,5,3470437650
774,2017-01-30 0:09,12,15,18,28,34,42,9,11,1709721512
773,2017-01-23 0:09,8,12,19,21,31,35,44,11,1609403080
772,2017-01-16 0:09,5,6,11,14,21,41,32,10,1769608838
771,2017-01-09 0:09,6,10,17,18,21,29,30,4,4362644907
770,2017-01-02 0:09,1,9,12,23,39,43,34,8,2163099329
769,2017-01-26 0:08,5,7,11,16,41,45,4,9,1930760042
768,2017-01-19 0:08,7,27,29,30,38,44,4,13,1363572260
767,2017-01-12 0:08,5,15,20,31,34,42,22,15,1163768725
766,2017-01-05 0:08,9,30,34,35,39,41,21,8,2173637297
765,2017-01-29 0:07,1,3,8,12,42,43,33,15,1109214250
764,2017-01-22 0:07,7,22,24,31,34,36,15,7,2459975465
763,2017-01-15 0:07,3,8,16,32,34,43,10,8,2138130000
762,2017-01-08 0:07,1,3,12,21,26,41,16,10,1631432063
761,2017-01-01 0:07,4,7,11,24,42,45,30,7,2392730518
760,2017-01-24 0:06,10,22,27,31,42,43,12,8,2253299391
759,2017-01-17 0:06,9,33,36,40,42,43,32,6,3032670500
758,2017-01-10 0:06,5,9,12,30,39,43,24,8,2078969954
757,2017-01-03 0:06,6,7,11,17,33,44,1,21,739839858
756,2017-01-27 0:05,10,14,16,18,27,28,4,5,3414434700
755,2017-01-22 0:05,13,14,26,28,30,36,37,8,2214427266
754,2017-01-13 0:05,2,8,17,24,29,31,32,5,3427542000
753,2017-01-06 0:05,2,17,19,24,37,41,3,6,2711105063
752,2017-01-29 0:04,4,16,20,33,40,43,7,9,1870358834
751,2017-01-22 0:04,3,4,16,20,28,44,17,8,2097968110
750,2017-01-15 0:04,1,2,15,19,24,36,12,7,2522104286
749,2017-01-10 0:04,12,14,24,26,34,45,41,13,1350104395
748,2017-01-01 0:04,3,10,13,22,31,32,29,9,1928246542
747,2017-01-25 0:03,7,9,12,14,23,28,17,9,1903214584
746,2017-01-18 0:03,3,12,33,36,42,45,25,9,2038623709
745,2017-01-11 0:03,1,2,3,9,12,23,10,20,746822982
744,2017-01-04 0:03,10,15,18,21,34,41,43,15,1155411575
743,2017-01-25 0:02,15,19,21,34,41,44,10,7,2608641000
742,2017-01-18 0:02,8,10,13,36,37,40,6,16,1111814813
741,2017-01-11 0:02,5,21,27,34,44,45,16,6,3043595938
740,2017-01-04 0:02,4,8,9,16,17,19,31,18,936929792
739,2017-01-28 0:01,7,22,29,33,34,35,30,4,4744122282
738,2017-01-21 0:01,23,27,28,38,42,43,36,11,1634191091
737,2017-01-14 0:01,13,15,18,24,27,41,11,4,4283061000
736,2017-01-07 0:01,2,11,17,18,21,27,6,5,3397362225
735,2016-01-31 0:12,5,10,13,27,37,41,4,10,1847231588
734,2016-01-24 0:12,6,16,37,38,41,45,18,9,1949395500
733,2016-01-17 0:12,11,24,32,33,35,40,13,4,4016725125
732,2016-01-10 0:12,2,4,5,17,27,32,43,7,2203270608
731,2016-01-03 0:12,2,7,13,25,42,45,39,7,2340471054
730,2016-01-26 0:11,4,10,14,15,18,22,39,8,2017382110
729,2016-01-19 0:11,11,17,21,26,36,45,16,4,4198250719
728,2016-01-12 0:11,3,6,10,30,34,37,36,5,3243464400
727,2016-01-05 0:11,7,8,10,19,21,31,20,14,1115107742
726,2016-01-29 0:10,1,11,21,23,34,44,24,14,1166872634
725,2016-01-22 0:10,6,7,19,21,41,43,38,11,1579217250
724,2016-01-15 0:10,2,8,33,35,37,41,14,12,1427789813
723,2016-01-08 0:10,20,30,33,35,36,44,22,8,2114365360
722,2016-01-01 0:10,12,14,21,30,39,43,45,4,4365422719
721,2016-01-24 0:09,1,28,35,41,43,44,31,8,2273767360
720,2016-01-17 0:09,1,12,29,34,36,37,41,14,1233770358
719,2016-01-10 0:09,4,8,13,19,20,43,26,9,1879581334
718,2016-01-03 0:09,4,11,20,23,32,39,40,17,926166464
717,2016-01-27 0:08,2,11,19,25,28,32,44,6,2702433688
716,2016-01-20 0:08,2,6,13,16,29,30,21,12,1358752157
715,2016-01-13 0:08,2,7,27,33,41,44,10,6,2605510438
714,2016-01-06 0:08,1,7,22,33,37,40,20,7,2085131733
713,2016-01-30 0:07,2,5,15,18,19,23,44,9,1714720917
712,2016-01-23 0:07,17,20,30,31,33,45,19,4,4034485125
711,2016-01-16 0:07,11,15,24,35,37,45,42,7,2277413358
710,2016-01-09 0:07,3,4,9,24,25,33,10,5,2895441150
709,2016-01-02 0:07,10,18,30,36,39,44,32,14,1165271625
708,2016-01-25 0:06,2,10,16,19,34,45,1,4,4099552219
707,2016-01-18 0:06,2,12,19,24,39,44,35,12,1322167313
706,2016-01-11 0:06,3,4,6,10,28,30,37,4,3831746063
705,2016-01-04 0:06,1,6,17,22,28,45,23,4,3987206532
704,2016-01-28 0:05,1,4,8,23,33,42,45,4,3865190344
703,2016-01-21 0:05,10,28,31,33,41,44,21,5,3235784100
702,2016-01-14 0:05,3,13,16,24,26,29,9,11,1465091387
701,2016-01-07 0:05,3,10,14,16,36,38,35,10,1583183175
700,2016-01-30 0:04,11,23,28,29,30,44,13,8,2082099188
699,2016-01-23 0:04,4,5,8,16,21,29,3,8,1995411375
698,2016-01-16 0:04,3,11,13,21,33,37,18,8,1921084125
697,2016-01-09 0:04,2,5,8,11,33,39,31,10,1531443038
696,2016-01-02 0:04,1,7,16,18,34,38,21,10,1632054413
695,2016-01-26 0:03,4,18,26,33,34,38,14,11,1450214830
694,2016-01-19 0:03,7,15,20,25,33,43,12,10,1555036388
693,2016-01-12 0:03,1,6,11,28,34,42,30,10,1642763813
692,2016-01-05 0:03,3,11,14,15,32,36,44,7,2301273697
691,2016-01-27 0:02,15,27,33,35,43,45,16,6,2839296750
690,2016-01-20 0:02,24,25,33,34,38,39,43,15,1126507625
689,2016-01-13 0:02,7,17,19,30,36,38,34,7,2321775911
688,2016-01-06 0:02,5,15,22,23,34,35,2,9,1967536750
687,2016-01-30 0:01,1,8,10,13,28,42,45,6,2720029313
686,2016-01-23 0:01,7,12,15,24,25,43,13,8,1937531719
685,2016-01-16 0:01,6,7,12,28,38,40,18,11,1494367671
684,2016-01-09 0:01,1,11,15,17,25,39,40,9,1688815709
683,2016-01-02 0:01,6,13,20,27,28,40,15,16,1010930883
682,2015-01-26 0:12,17,23,27,35,38,43,2,4,4063713563
681,2015-01-19 0:12,21,24,27,29,43,44,7,6,2696328938
680,2015-01-12 0:12,4,10,19,29,32,42,30,14,1110570563
679,2015-01-05 0:12,3,5,7,14,26,34,35,5,2863005600
678,2015-01-28 0:11,4,5,6,12,25,37,45,6,2288490188
677,2015-01-21 0:11,12,15,24,36,41,44,42,8,1921114407
676,2015-01-14 0:11,1,8,17,34,39,45,27,8,1879726500
675,2015-01-07 0:11,1,8,11,15,18,45,7,4,3514549032
674,2015-01-31 0:10,9,10,14,25,27,31,11,8,1770565500
673,2015-01-24 0:10,7,10,17,29,33,44,5,10,1491453300
672,2015-01-17 0:10,8,21,28,31,36,45,43,9,1754745000
671,2015-01-10 0:10,7,9,10,13,31,35,24,4,3722322844
670,2015-01-03 0:10,11,18,26,27,40,41,25,12,1191725219
669,2015-01-26 0:09,7,8,20,29,33,38,9,6,2708173188
668,2015-01-19 0:09,12,14,15,24,27,32,3,5,2991158625
667,2015-01-12 0:09,15,17,25,37,42,43,13,7,2228764393
666,2015-01-05 0:09,2,4,6,11,17,28,16,6,2396901063
665,2015-01-29 0:08,5,6,11,17,38,44,13,4,3643230375
664,2015-01-22 0:08,10,20,33,36,41,44,5,10,1536801338
663,2015-01-15 0:08,3,5,8,19,38,42,20,7,2080244143
662,2015-01-08 0:08,5,6,9,11,15,37,26,8,1689733688
661,2015-01-01 0:08,2,3,12,20,27,38,40,8,1713025547
660,2015-01-25 0:07,4,9,23,33,39,44,14,10,1421272575
659,2015-01-18 0:07,7,18,19,27,29,42,45,11,1336604216
658,2015-01-11 0:07,8,19,25,28,32,36,37,9,1634031375
657,2015-01-04 0:07,10,14,19,39,40,43,23,9,1694762792
656,2015-01-27 0:06,3,7,14,16,31,40,39,2,7330002750
655,2015-01-20 0:06,7,37,38,39,40,44,18,9,1661439625
654,2015-01-13 0:06,16,21,26,31,36,43,6,8,1879301391
